pays;source_officielle;annee_reference;sexe;age;esperance_vie_restante;date_publication_source;actif;âge actuel
LU;STATEC;1942;F;5;16.15;01.01.2024;True;
LU;STATEC;1942;F;6;83.05;01.01.2024;True;
LU;STATEC;1942;M;1;60.95;01.01.2024;True;
LU;STATEC;1942;M;2;47.25;01.01.2024;True;
LU;STATEC;1942;M;3;29.55;01.01.2024;True;
LU;STATEC;1942;M;4;21.45;01.01.2024;True;
LU;STATEC;1943;F;1;65.20;01.01.2024;True;
LU;STATEC;1943;F;2;50.90;01.01.2024;True;
LU;STATEC;1943;F;3;32.80;01.01.2024;True;
LU;STATEC;1943;F;4;24. Okt;01.01.2024;True;
LU;STATEC;1943;F;5;16.30;01.01.2024;True;
LU;STATEC;1943;F;6;83.20;01.01.2024;True;
LU;STATEC;1943;M;1;61.10;01.01.2024;True;
LU;STATEC;1943;M;2;47.40;01.01.2024;True;
LU;STATEC;1943;M;3;29.70;01.01.2024;True;
LU;STATEC;1943;M;4;21.60;01.01.2024;True;
LU;STATEC;1944;F;1;65.35;01.01.2024;True;
LU;STATEC;1944;F;2;51.05;01.01.2024;True;
LU;STATEC;1944;F;3;32.95;01.01.2024;True;
LU;STATEC;1944;F;4;24.25;01.01.2024;True;
LU;STATEC;1944;F;5;16.45;01.01.2024;True;
LU;STATEC;1944;F;6;83.35;01.01.2024;True;
LU;STATEC;1944;M;1;61.25;01.01.2024;True;
LU;STATEC;1944;M;2;47.55;01.01.2024;True;
LU;STATEC;1944;M;3;29.85;01.01.2024;True;
LU;STATEC;1944;M;4;21.75;01.01.2024;True;
LU;STATEC;1945;F;1;65.50;01.01.2024;True;
LU;STATEC;1945;F;2;51.20;01.01.2024;True;
LU;STATEC;1945;F;3;33.10;01.01.2024;True;
LU;STATEC;1945;F;4;24.40;01.01.2024;True;
LU;STATEC;1945;F;5;16.60;01.01.2024;True;
LU;STATEC;1945;F;6;83.50;01.01.2024;True;
LU;STATEC;1945;M;1;61.40;01.01.2024;True;
LU;STATEC;1945;M;2;47.70;01.01.2024;True;
LU;STATEC;1945;M;3;30.00;01.01.2024;True;
LU;STATEC;1945;M;4;21.90;01.01.2024;True;
LU;STATEC;1946;F;1;65.65;01.01.2024;True;
LU;STATEC;1946;F;2;51.35;01.01.2024;True;
LU;STATEC;1946;F;3;33.25;01.01.2024;True;
LU;STATEC;1946;F;4;24.55;01.01.2024;True;
LU;STATEC;1946;F;5;16.75;01.01.2024;True;
LU;STATEC;1946;F;6;83.65;01.01.2024;True;
LU;STATEC;1946;M;1;61.55;01.01.2024;True;
LU;STATEC;1946;M;2;47.85;01.01.2024;True;
LU;STATEC;1946;M;3;30.15;01.01.2024;True;
LU;STATEC;1946;M;4;22. Mai;01.01.2024;True;
LU;STATEC;1947;F;1;65.80;01.01.2024;True;
LU;STATEC;1947;F;2;51.50;01.01.2024;True;
LU;STATEC;1947;F;3;33.40;01.01.2024;True;
LU;STATEC;1947;F;4;24.70;01.01.2024;True;
LU;STATEC;1947;F;5;16.90;01.01.2024;True;
LU;STATEC;1947;F;6;83.80;01.01.2024;True;
LU;STATEC;1947;M;1;61.70;01.01.2024;True;
LU;STATEC;1947;M;2;48.00;01.01.2024;True;
LU;STATEC;1947;M;3;30.30;01.01.2024;True;
LU;STATEC;1947;M;4;22.20;01.01.2024;True;
LU;STATEC;1948;F;1;65.80;01.01.2024;True;
LU;STATEC;1948;F;2;51.50;01.01.2024;True;
