STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;SPECIFICATION;Spécification;SEX;Sexe;AGE;Age;FREQ;Fréquence;TIME_PERIOD;Période;OBS_VALUE;Valeur;OBS_STATUS;Statut d'observation;DECIMALS;Décimales;NOTE_YEAR_2;Note année 2;NOTE_YEAR_1;Note année 1;NOTE_SPECIFICATION_2;Note spécification 2;NOTE_SPECIFICATION_1;Note spécification 1;NOTE_SEX_2;Note sexe 2;NOTE_SEX_1;Note sexe 1;NOTE_AGE_2;Age;NOTE_AGE_1;Age
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL037;36;A;Annuelle;2023;;49.6653083233202;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL052;51;A;Annuelle;2023;;35.1027676347321;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B02;Femmes;SL054;53;A;Annuelle;2023;;33.18516526966;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL015;14;A;Annuelle;2023;;67.5448393519477;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL025;24;A;Annuelle;2023;;57.7143944890778;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL042;41;A;Annuelle;2023;;41.1134425337319;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL053;52;A;Annuelle;2023;;30.6689497669252;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL070;69;A;Annuelle;2023;;16.366613485988;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL080;79;A;Annuelle;2023;;9.40542031213871;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
DATAFLOW;LU1:DF_B2307(1.0);Table de mortalité détaillée;I;C04;Espérance de vie (Ex);B01;Hommes;SL095;94;A;Annuelle;2023;;3.0562171244886;;;;0;Zéro;;;Y01;L’année affichée correspond au milieu de la période d’observation de trois années (par exemple 2020 correspond aux années 2019-2021).;C04;Définitions: Espérance de vie. Données révisées pour les années 2005 - 2015;;;;;;;;;;
